STN Code,Sampling Date,Month,Sampling Time,Stn Name,Type Water Body,Name Of Water Body,River Basin,District,State Name,Mon Agency,Frequency,Major Polluting Sources,Use Based Class, Use of Water in Down Stream, Visibility Effluent Discharge,Weather,Approx Depth,Human Activities,Floating Matter,Color,Odor,Flow,Temperature,Dissolved O2,pH,Conductivity,BOD,Nitrate N,Fecal Coliform,Total Coliform,Fecal Streptococci,Turbidity,Phenophelene Alkanity,Total Alkalinity,Chlorides,COD,Total Kjeldahl N,Amonia N,Hardness CaCo3,Calcium CaCo3,Magnesium CaCo3,Sulphate,Sodium,Total Dissolved Solids,Total Fixed Solids,Total Suspended Solids,Phosphate,Boron,Potassium,Flouride,Remark,latitude,longitude
2191,45785,Aug,0.572916667,"Mutha river at Sangam bridge near Ganapathyghat, Village . Shivaji Nagar,  Taluka. Pune, District. Pune.",River,Mutha ,Mutha ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,2.4,7.5,529,27,2.36,79,1600,11,8.95,5(BDL),96,44.89,84,8.4,3.43,150,78,72,5(BDL),31.71,415,337,30,0.59,2.5,6.67,0.6,NA,18°31.815’,73°51.662’
2192,45785,Aug,0.520833333,"Mula - Mutha river at Mundhawa bridge,Village. Mundhawa,Taluka. Haweli,District. Pune.",River,Mula Mutha ,Mula Mutha ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,4.1,7.4,486,12.5,0.7,41,1600,6,3.34,5(BDL),94,41.74,36,6.72,2.84,138,70,68,5(BDL),26.31,385,311,12,0.56,2.3,4.42,0.5,NA,18°32.206’,73°56.015’
2193,45785,Aug,0.65625,"Mula river at Aundh bridge, Village. Aundhgaon,Taluka. Haweli, District. Pune.",River,Mula ,Mula ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,4.1,7.4,414,7.2,0.61,120,1600,1.8(BDL),1.8,5(BDL),74,25.49,24,2.8,1.03,118,60,58,5(BDL),16.9,328,263,11,1.12,1.4,2.22,0.7,NA,18°34.049’,73°48.675’
2194,45785,Aug,0.670138889,"Mula river at Harrison bridge near Mula.Pawana sangam, Village. Bopodi,Taluka. Haweli, District. Pune.",River,Mula ,Mula ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,4.4,7.7,411,7,0.52,240,1600,32,1.47,5(BDL),70,25.59,20,4.48,1.82,116,56,60,5.77,17.42,326,265,12,0.48,1.9,2.27,0.9,NA,18°34.462’,73°50.139’
2195,45846,Aug,0.506944444,"Nira river at D/s of Jubilant Organosis,  Village. Nimbut, Taluka. Baramati, District. Pune.",River,Nira ,Nira ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,6.1,8.3,619,5,0.8,21,350,1.8(BDL),1(BDL),6,126,56.68,16,1.68,0.42,174,90,84,14.43,69.7,489,398,11,0.2(BDL),0.5(BDL),1(BDL),0.7,NA,18°06.093’,74°14.038’
2682,45846,Aug,0.496527778,"Nira river at U/s of Jubilant Organosis, Village. Nira (Dattaghat),Taluka. Baramati, District. Pune.",River,Nira ,Nira ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,6.7,8.3,420,3.8,0.72,6,350,1.8(BDL),1(BDL),8,88,33.29,12,2.24,0.7,120,60,60,6.71,43.26,335,274,10(BDL),0.2(BDL),0.5(BDL),1(BDL),0.4,NA,18° 05.811’,74° 12.730’
2656,45755,Aug,0.663194444,"Bhima river. Backwater of Ujani Dam, near raw water pump house, Village. Kumbargaon, Taluka. Indapur, District. Pune.",River,Bhima ,Bhima ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,4.5,8.2,633,8,0.78,1.8(BDL),540,1.8(BDL),2.24,6,126,74.18,32.1,1.68,0.46,178,92,86,5.4,62.58,496,402,14,0.2(BDL),0.5(BDL),3.13,0.2(BDL),NA,18° 16.341’,74° 47.893’
2678,45785,Aug,0.586805556,"Mutha river near Veer Savarkar Bhavan, Village. Pune  M.C, Taluka. Pune, District .Pune.",River,Mutha ,Mutha ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,2.2,7.4,456,28,2.21,540,1600,4.5,9.72,5(BDL),100,39.69,88,7.28,3.1,156,80,76,5.25,30.95,433,354,42,0.35,2.6,5.94,0.7,NA,18° 31.287’,73° 51.018’
2679,45785,Aug,0.59375,"Mutha river at Deccan bridge, Village. Deccan,Taluka. Pune, District. Pune.",River,Mutha ,Mutha ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,2.1,7.4,551,28,3.11,20,1600,6.1,8.43,5(BDL),104,44.44,92,11.2,5.14,158,82,76,5(BDL),30.8,436,358,44,0.32,2.7,5.81,0.8,NA,18° 30.910’,73° 50.677’
1189,45785,Aug,0.618055556,"Bhima river at Pune (Mutha river) at U/s of Vithalwadi near Shankar Mandir, Village. Vithalwadi, Taluka. Haweli, District. Pune.",River,Bhima ,Bhima ,Pune,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),,None,Clear,Less than 50cm,Others,Yes,Clear,None,0,27.5,1.3,7.5,606,26,1.84,48,1600,4.5,7.31,5(BDL),120,44.49,80,6.72,2.64,174,88,86,5(BDL),30.71,479,390,34,0.2(BDL),1.8,5.41,0.7,NA,18°29.012 ’,73°49.554’
